2021-07-06 05:26:51 install libmount1:amd64 <none> 2.33.1-0.1
2021-07-06 05:26:51 status half-installed libmount1:amd64 2.33.1-0.1
2021-07-06 05:26:51 status unpacked libmount1:amd64 2.33.1-0.1
2021-07-06 05:26:51 install libsmartcols1:amd64 <none> 2.33.1-0.1
2021-07-06 05:26:51 status half-installed libsmartcols1:amd64 2.33.1-0.1
2021-07-06 05:26:51 status unpacked libsmartcols1:amd64 2.33.1-0.1
2021-07-06 05:26:51 install libuuid1:amd64 <none> 2.33.1-0.1
2021-07-06 05:26:51 status half-installed libuuid1:amd64 2.33.1-0.1
2021-07-06 05:26:51 status unpacked libuuid1:amd64 2.33.1-0.1
2021-07-06 05:26:51 install mount:amd64 <none> 2.33.1-0.1
2021-07-06 05:26:51 status half-installed mount:amd64 2.33.1-0.1
2021-07-06 05:26:51 status unpacked mount:amd64 2.33.1-0.1
2021-07-06 05:26:51 install util-linux:amd64 <none> 2.33.1-0.1
2021-07-06 05:26:51 status half-installed util-linux:amd64 2.33.1-0.1
2021-07-06 05:26:52 status unpacked util-linux:amd64 2.33.1-0.1
2021-07-06 05:26:52 install liblzma5:amd64 <none> 5.2.4-1
2021-07-06 05:26:52 status half-installed liblzma5:amd64 5.2.4-1
2021-07-06 05:26:52 status unpacked liblzma5:amd64 5.2.4-1
2021-07-06 05:26:52 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1
2021-07-06 05:26:52 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2021-07-06 05:26:52 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2021-07-06 05:26:52 startup packages configure
2021-07-06 05:26:52 configure debian-archive-keyring:all 2019.1+deb10u1 <none>
2021-07-06 05:26:52 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2021-07-06 05:26:52 status half-configured debian-archive-keyring:all 2019.1+deb10u1
2021-07-06 05:26:52 status installed debian-archive-keyring:all 2019.1+deb10u1
2021-07-06 05:26:52 configure libaudit-common:all 1:2.8.4-3 <none>
2021-07-06 05:26:52 status unpacked libaudit-common:all 1:2.8.4-3
2021-07-06 05:26:52 status half-configured libaudit-common:all 1:2.8.4-3
2021-07-06 05:26:52 status installed libaudit-common:all 1:2.8.4-3
2021-07-06 05:26:52 configure libsemanage-common:all 2.8-2 <none>
2021-07-06 05:26:52 status unpacked libsemanage-common:all 2.8-2
2021-07-06 05:26:52 status half-configured libsemanage-common:all 2.8-2
2021-07-06 05:26:52 status installed libsemanage-common:all 2.8-2
2021-07-06 05:26:52 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2021-07-06 05:26:52 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-07-06 05:26:52 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2021-07-06 05:26:52 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-07-06 05:26:52 configure gcc-8-base:amd64 8.3.0-6 <none>
2021-07-06 05:26:52 status unpacked gcc-8-base:amd64 8.3.0-6
2021-07-06 05:26:52 status half-configured gcc-8-base:amd64 8.3.0-6
2021-07-06 05:26:52 status installed gcc-8-base:amd64 8.3.0-6
2021-07-06 05:26:52 configure libc6:amd64 2.28-10 <none>
2021-07-06 05:26:52 status unpacked libc6:amd64 2.28-10
2021-07-06 05:26:52 status half-configured libc6:amd64 2.28-10
2021-07-06 05:26:52 status installed libc6:amd64 2.28-10
2021-07-06 05:26:52 configure libudev1:amd64 241-7~deb10u7 <none>
2021-07-06 05:26:52 status unpacked libudev1:amd64 241-7~deb10u7
2021-07-06 05:26:52 status half-configured libudev1:amd64 241-7~deb10u7
2021-07-06 05:26:52 status installed libudev1:amd64 241-7~deb10u7
2021-07-06 05:26:52 configure libsepol1:amd64 2.8-1 <none>
2021-07-06 05:26:52 status unpacked libsepol1:amd64 2.8-1
2021-07-06 05:26:52 status half-configured libsepol1:amd64 2.8-1
2021-07-06 05:26:52 status installed libsepol1:amd64 2.8-1
2021-07-06 05:26:52 configure libattr1:amd64 1:2.4.48-4 <none>
2021-07-06 05:26:52 status unpacked libattr1:amd64 1:2.4.48-4
